epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2983.84,0.22001,3.30517,0.00877,0,0,0,0,0,0,0,7.93304e-05,7.93304e-05,7.93304e-05
2,5818.13,0.15789,1.10947,0.00613,0,0,0,0,0,0,0,0.000142956,0.000142956,0.000142956
3,8658.7,0.14775,0.54471,0.00567,0,0,0,0,0,0,0,0.000190874,0.000190874,0.000190874
4,11513,0.14045,0.35299,0.00538,0,0,0,0,0,0,0,0.000167314,0.000167314,0.000167314
5,14398.2,0.13299,0.26785,0.00507,0,0,0,0,0,0,0,0.000143752,0.000143752,0.000143752
6,17280.8,0.12642,0.21004,0.00479,0,0,0,0,0,0,0,0.00012019,0.00012019,0.00012019
7,20163.8,0.12024,0.17447,0.00455,0,0,0,0,0,0,0,9.6628e-05,9.6628e-05,9.6628e-05
8,23048.9,0.11477,0.1482,0.00433,0,0,0,0,0,0,0,7.3066e-05,7.3066e-05,7.3066e-05
9,25955.6,0.1101,0.12944,0.00415,0,0,0,0,0,0,0,4.9504e-05,4.9504e-05,4.9504e-05
10,29633.4,0.10703,0.11325,0.00403,0.80727,0.72956,0.83006,0.82576,0.16458,0.82797,0.00677,2.5942e-05,2.5942e-05,2.5942e-05
